Reader,Case number,Modality (Color scale),Confidence score
Med2,64,Hot,45
Med2,65,Hot,45
Med2,66,Hot,75
Med2,67,Hot,85
Med2,68,Hot,85
Med2,69,Hot,75
Med2,70,Hot,45
Med2,71,Hot,65
Med2,72,Hot,85
Med2,73,Hot,55
Med2,74,Hot,55
Med2,75,Hot,55
Med2,76,Hot,75
Med2,77,Hot,65
Med2,78,Hot,45
Med2,79,Hot,55
Med2,80,Hot,35
Med2,81,Hot,35
Med2,82,Hot,55
Med2,83,Hot,55
Med2,84,Hot,35
Med2,85,Hot,35
Med2,86,Hot,45
Med2,87,Hot,55
Med2,88,Hot,35
Med2,89,Hot,45
Med2,90,Hot,55
Med2,91,Hot,55
Med2,92,Hot,55
Med2,93,Hot,35
Med2,94,Hot,25
Med2,95,Hot,55
Med2,96,Hot,45
Med2,97,Hot,55
Med2,98,Hot,25
Med2,99,Hot,45
Med2,100,Hot,55
Med2,101,Hot,25
Med2,102,Hot,55
Med2,103,Hot,55
Med2,104,Hot,65
Med2,105,Hot,55
Med2,106,Hot,35
Med2,107,Hot,35
Med2,108,Hot,25
Med2,109,Hot,75
Med2,110,Hot,55
Med2,56,Rainbow,95
Med2,57,Rainbow,85
Med2,58,Rainbow,55
Med2,59,Rainbow,85
Med2,60,Rainbow,75
Med2,61,Rainbow,75
Med2,62,Rainbow,25
Med2,63,Rainbow,45
Med2,64,Rainbow,45
Med2,65,Rainbow,65
Med2,66,Rainbow,65
Med2,67,Rainbow,85
Med2,68,Rainbow,95
Med2,69,Rainbow,85
Med2,70,Rainbow,35
Med2,71,Rainbow,85
Med2,72,Rainbow,95
Med2,73,Rainbow,55
Med2,74,Rainbow,55
Med2,75,Rainbow,55
Med2,76,Rainbow,75
Med2,77,Rainbow,75
Med2,78,Rainbow,55
Med2,79,Rainbow,55
Med2,80,Rainbow,35
Med2,81,Rainbow,55
Med2,82,Rainbow,35
Med2,83,Rainbow,45
Med2,84,Rainbow,35
Med2,85,Rainbow,65
Med2,86,Rainbow,55
Med2,87,Rainbow,55
Med2,88,Rainbow,75
Med2,89,Rainbow,45
Med2,90,Rainbow,55
Med2,91,Rainbow,45
Med2,92,Rainbow,55
Med2,93,Rainbow,45
Med2,94,Rainbow,35
Med2,95,Rainbow,55
Med2,96,Rainbow,35
Med2,97,Rainbow,75
Med2,98,Rainbow,25
Med2,99,Rainbow,35
Med2,100,Rainbow,55
Med2,101,Rainbow,55
Med2,102,Rainbow,45
Med2,103,Rainbow,55
Med2,104,Rainbow,25
Med2,105,Rainbow,55
