Reader,case number,Modality (color scale),Confidence score
Low3,100,Rainbow,66
Low3,101,Rainbow,54
Low3,102,Rainbow,64
Low3,103,Rainbow,30
Low3,104,Rainbow,32
Low3,105,Rainbow,66
Low3,106,Rainbow,55
Low3,107,Rainbow,70
Low3,108,Rainbow,30
Low3,109,Rainbow,30
Low3,110,Rainbow,65
Low3,111,Rainbow,30
Low3,112,Rainbow,64
Low3,113,Rainbow,43
Low3,114,Rainbow,54
Low3,115,Rainbow,65
Low3,116,Rainbow,80
Low3,117,Rainbow,60
Low3,118,Rainbow,30
Low3,119,Rainbow,22
Low3,120,Rainbow,20
Low3,121,Rainbow,54
Low3,122,Rainbow,30
Low3,123,Rainbow,30
Low3,124,Rainbow,54
Low3,125,Rainbow,65
Low3,126,Rainbow,30
Low3,127,Rainbow,65
Low3,128,Rainbow,34
Low3,129,Rainbow,70
Low3,130,Rainbow,20
Low3,131,Rainbow,22
Low3,132,Rainbow,32
Low3,133,Rainbow,30
Low3,134,Rainbow,20
Low3,135,Rainbow,65
Low3,136,Rainbow,54
Low3,137,Rainbow,30
Low3,138,Rainbow,32
Low3,139,Rainbow,54
Low3,140,Rainbow,43
High2,71,Grayscale,60
High2,72,Grayscale,33
High2,73,Grayscale,30
High2,74,Grayscale,50
High2,75,Grayscale,30
High2,76,Grayscale,20
High2,77,Grayscale,60
High2,78,Grayscale,71
High2,79,Grayscale,30
High2,80,Grayscale,70
High2,81,Grayscale,29
High2,82,Grayscale,50
High2,83,Grayscale,41
High2,84,Grayscale,60
High2,85,Grayscale,60
High2,87,Grayscale,24
High2,88,Grayscale,33
High2,90,Grayscale,50
High2,92,Grayscale,21
High2,94,Grayscale,58
High2,95,Grayscale,50
High2,96,Grayscale,58
High2,98,Grayscale,67
High2,99,Grayscale,10
High2,100,Grayscale,50
High2,102,Grayscale,60
High2,104,Grayscale,70
High2,105,Grayscale,30
High2,106,Grayscale,66
High2,107,Grayscale,35
High2,108,Grayscale,30
High2,109,Grayscale,30
High2,110,Grayscale,22
High2,111,Grayscale,20
High2,112,Grayscale,65
High2,114,Grayscale,30
High2,116,Grayscale,24
High2,117,Grayscale,24
High2,118,Grayscale,30
High2,119,Grayscale,37
High2,120,Grayscale,40
High2,121,Grayscale,50
High2,123,Grayscale,32
High2,124,Grayscale,20
High2,125,Grayscale,12
High2,126,Grayscale,70
High2,127,Grayscale,11
High2,128,Grayscale,70
High2,130,Grayscale,14
High2,131,Grayscale,20
High2,132,Grayscale,55
High2,136,Grayscale,39
High2,138,Grayscale,31
High2,139,Grayscale,72
High2,140,Grayscale,60
High2,71,Hot,32
High2,72,Hot,6
High2,73,Hot,40
High2,74,Hot,60
High2,78,Hot,60
High2,80,Hot,60
High2,81,Hot,22
High2,83,Hot,60
High2,84,Hot,10
High2,85,Hot,40
High2,86,Hot,57
High2,87,Hot,34
High2,89,Hot,31
High2,90,Hot,38
High2,91,Hot,73
High2,92,Hot,18
High2,94,Hot,30
High2,96,Hot,58
High2,97,Hot,73
High2,98,Hot,56
High2,99,Hot,0
High2,100,Hot,67
High2,101,Hot,35
High2,102,Hot,36
High2,103,Hot,40
High2,104,Hot,35
High2,106,Hot,40
High2,108,Hot,25
High2,110,Hot,20
High2,111,Hot,6
High2,112,Hot,40
High2,113,Hot,73
High2,114,Hot,40
High2,115,Hot,59
High2,116,Hot,40
High2,117,Hot,30
High2,118,Hot,29
High2,121,Hot,65
High2,122,Hot,30
High2,123,Hot,20
High2,124,Hot,8
High2,126,Hot,60
High2,127,Hot,60
High2,128,Hot,36
High2,129,Hot,25
High2,130,Hot,12
High2,132,Hot,20
High2,135,Hot,63
High2,136,Hot,40
High2,137,Hot,40
High2,140,Hot,50
High2,71,Rainbow,40
High2,72,Rainbow,34
High2,73,Rainbow,60
High2,74,Rainbow,40
High2,75,Rainbow,30
High2,76,Rainbow,40
High2,77,Rainbow,63
High2,78,Rainbow,81
High2,79,Rainbow,24
High2,80,Rainbow,60
High2,81,Rainbow,20
High2,82,Rainbow,63
High2,83,Rainbow,76
High2,84,Rainbow,40
High2,85,Rainbow,31
High2,87,Rainbow,40
High2,88,Rainbow,57
High2,90,Rainbow,40
High2,92,Rainbow,64
High2,94,Rainbow,50
High2,95,Rainbow,40
High2,96,Rainbow,75
High2,98,Rainbow,70
High2,99,Rainbow,9
High2,100,Rainbow,85
High2,102,Rainbow,62
High2,104,Rainbow,40
High2,105,Rainbow,60
High2,106,Rainbow,29
High2,107,Rainbow,36
High2,108,Rainbow,30
High2,109,Rainbow,20
High2,110,Rainbow,62
High2,111,Rainbow,20
High2,112,Rainbow,60
High2,114,Rainbow,21
High2,116,Rainbow,24
High2,117,Rainbow,25
High2,118,Rainbow,18
High2,119,Rainbow,30
High2,120,Rainbow,47
High2,121,Rainbow,66
High2,123,Rainbow,19
High2,124,Rainbow,60
High2,125,Rainbow,40
High2,126,Rainbow,76
High2,127,Rainbow,67
High2,128,Rainbow,65
High2,130,Rainbow,10
High2,131,Rainbow,40
High2,132,Rainbow,33
High2,136,Rainbow,58
High2,138,Rainbow,23
High2,139,Rainbow,60
High2,140,Rainbow,60
High3,141,Grayscale,35
High3,142,Grayscale,33
High3,143,Grayscale,66
High3,144,Grayscale,64
High3,145,Grayscale,33
High3,146,Grayscale,67
High3,147,Grayscale,74
High3,148,Grayscale,36
High3,149,Grayscale,65
High3,150,Grayscale,69
High3,151,Grayscale,74
High3,152,Grayscale,76
High3,153,Grayscale,0
High3,154,Grayscale,34
High3,155,Grayscale,54
